event,date,country,city,artist,album,track,isrc,linkid
pageview,2021-08-24,Jordan,Amman,"Soulja Boy Tell 'Em, Rich The Kid",Rick N Morty,Rick N Morty,QZK6N2198767,5ffec53c-25da-436e-a84e-5695deee5e0e
pageview,2021-08-24,India,Nagpur,Sean Paul,The Trinity,Temperature,USAT20505520,04ba6b17-1055-4f0e-a75e-3cdb0d0d4106
pageview,2021-08-24,Ethiopia,Unknown,Cardi B,Money,Money,USAT21811495,fce541bf-202b-489e-b8a0-734970be4f68
pageview,2021-08-24,United States,Northville,Cochise,Hatchback,Hatchback,QM42K1975137,22f846b0-c646-480b-b004-1376120d1c93
pageview,2021-08-24,France,Istres,Hoàng Read,The Magic Bomb,The Magic Bomb - Extended Mix,FR59R2143389,8f990f44-6a5d-4294-ab0b-f74e0a8f3b25
pageview,2021-08-24,Saudi Arabia,Medina,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,6b792e40-ad88-40d6-9d42-244ea4730bc9
pageview,2021-08-24,Tanzania,Dar es Salaam,"Lunay, Anitta",El Niño,TODO O NADA,USA2P2117978,33335d11-744e-481b-9ba7-30086ca46edd
pageview,2021-08-24,Kenya,Nairobi,"Sub Urban, Bella Poarch",INFERNO,INFERNO,USWB12101521,92eb2fcc-1d3a-49fe-a000-916f92f8dcf9
pageview,2021-08-24,France,Sevran,Jhay Cortez,Nos Matamos,Nos Matamos,USUM72112523,38eb2b71-d8db-49bb-859b-ace93cf57ba3
pageview,2021-08-23,India,Lucknow,"Trippie Redd, Lil Uzi Vert",Holy Smokes (feat. Lil Uzi Vert),Holy Smokes,QZJ842001118,4a44b83e-9563-4891-af3f-36fa37421db6
pageview,2021-08-23,Switzerland,Bonstetten,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9
pageview,2021-08-23,United States,Amherst,PinkPantheress,Pain,Pain,QZFZ52145391,fd647d87-4c7a-4dd1-92c6-0e7dd7fdf4f1
pageview,2021-08-23,India,Pathanamthitta,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c
pageview,2021-08-23,Germany,Gütersloh,Soldier Kidd,Like Dat (Motion),Like Dat (Motion),QZAKB2130880,275bab3b-16d4-40a7-a674-bf6c7c5f96de
pageview,2021-08-23,France,Villepinte,Duncan Laurence,Small Town Boy,Arcade (feat. FLETCHER),NL1TK2000069,cce607e4-1ecb-4ac7-9f83-eb0ce1e1e6d9
pageview,2021-08-20,Germany,Glan-Munchweiler,Kstylis,Shake That A$$,Shake That A$$,USUYG1371824,c1cb1475-a6e8-45ae-a963-e0f3932a43cc
pageview,2021-08-20,Turkey,Bursa,KA$HDAMI,epiphany,Reparations!,QZFYY2115255,9c61dba1-9369-4ee4-a215-1d34581cd811
pageview,2021-08-20,Germany,Bremen,"Justin Quiles, Chimbala, Zion & Lennox",Loco,Loco,USWL12100223,6ec91846-dae0-448e-8afe-a775547c0fad
pageview,2021-08-20,United States,Decatur,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e
pageview,2021-08-20,Saudi Arabia,Jeddah,Meluchis,Deseo,Deseo,CA5KR2155909,ffd8d5a7-91bc-48e1-a692-c26fca8a8ead
pageview,2021-08-20,South Africa,Pretoria,Maroon 5,JORDI (Deluxe),Memories,USUM71913350,b1ffa256-e411-4afc-82b9-f9d41e569991
pageview,2021-08-24,Germany,Berlin,PinkPantheress,Pain,Pain,QZFZ52145391,fd647d87-4c7a-4dd1-92c6-0e7dd7fdf4f1
pageview,2021-08-24,Germany,Coburg,"Shawn Mendes, Tainy",Summer Of Love,Summer of Love (Shawn Mendes & Tainy),USUM72114707,d5317591-872a-487d-87cb-10a516643d5f
pageview,2021-08-24,United States,Anderson,"Trippie Redd, SoFaygo",Trip At Knight (Complete Edition),MP5 (feat. SoFaygo),QZJ842001216,a0c8669c-7214-4adf-a1a6-9c3384a12072
pageview,2021-08-24,Oman,Muscat,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
pageview,2021-08-24,United Kingdom,London,"Trippie Redd, Lil Uzi Vert",Holy Smokes (feat. Lil Uzi Vert),Holy Smokes,QZJ842001118,eedc8702-6bd2-499a-972f-260c35f72e0f
pageview,2021-08-24,Saudi Arabia,Medina,Billie Eilish,Happier Than Ever,Happier Than Ever,USUM72105936,d58a7ad8-f1f7-43c7-90fc-02906b703089
pageview,2021-08-24,Angola,Luanda,J Balvin,Que Locura,Que Locura,QZM5U2100120,d2be347e-88bb-491c-9478-1216363713ec
pageview,2021-08-24,United Kingdom,Warrington,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
pageview,2021-08-24,Italy,Caltana,Måneskin,Teatro d'ira - Vol. I,I WANNA BE YOUR SLAVE,ITB002100115,7d5f284b-8e57-4d74-adc6-3a757aaf3494
pageview,2021-08-19,France,Villeneuve-d'Ascq,"Maroon 5, Megan Thee Stallion",JORDI (Deluxe),Beautiful Mistakes (feat. Megan Thee Stallion),USUM72103449,7aaf5a76-d98d-4319-a14e-bbc618248b6c
pageview,2021-08-19,Mexico,Tuxtla Gutiérrez,Ingratax,París,París,MXB952100097,81c63400-e7a7-44a0-9e2b-60117f828767
pageview,2021-08-19,Pakistan,Jaranwala,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
pageview,2021-08-19,United States,Duluth,PinkPantheress,Just for me,Just for me,GBAYE2101058,e2e39afa-648b-4163-97b0-ce742ea67550
pageview,2021-08-19,United States,Dallas,Chief Keef,Hip-Hop's Most Haunted,I Don't Like,Unknown,aa4b738f-ce86-5309-b07f-01796082b127
pageview,2021-08-19,United States,Miami,Pop Smoke,Meet The Woo,Dior,USUM71914275,e0e33efc-c062-4fa7-97d1-2c3d14432455
pageview,2021-08-19,United States,Portsmouth,Bo Burnham,Inside (The Songs),Bezos I,USA2P2122060,1cded359-7b54-4086-987e-4cae307a446f
pageview,2021-08-19,France,Moisdon-la-Riviere,"Shouse, David Guetta",Love Tonight (David Guetta Remix),Love Tonight - David Guetta Remix,USA2P2120717,53da9d1d-7fa4-489e-a94a-e370beebdd7f
pageview,2021-08-19,United States,West Columbia,Kevin Gates,I'm Him,Fatal Attraction,USAT21905217,4eb398ad-c055-487b-9d95-88fff5e3eb8d
pageview,2021-08-19,United States,Maryville,KA$HDAMI,epiphany,Reparations!,QZFYY2115255,9c61dba1-9369-4ee4-a215-1d34581cd811
pageview,2021-08-19,Canada,Barrie,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9
pageview,2021-08-19,United States,Lexington,Eslabon Armado,Corta Venas,Jugaste y Sufrí,Unknown,339a61ec-9379-5805-aa3b-baa2f13acb43
pageview,2021-08-19,United States,Owosso,Playboi Carti,Die Lit,Mileage (feat. Chief Keef),Unknown,4e163083-f898-52e3-819e-d44683594e56
pageview,2021-08-19,United States,Battle Creek,Soldier Kidd,Like Dat (Motion),Like Dat (Motion),QZAKB2130880,275bab3b-16d4-40a7-a674-bf6c7c5f96de
pageview,2021-08-19,Ivory Coast,Abidjan,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
